
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    3752 Console                   15      2,792 K
chrome.exe                     920 Console                   15     97,072 K
chrome.exe                    4844 Console                   15     35,168 K
chrome.exe                   12564 Console                   15      9,928 K
chrome.exe                   22676 Console                   15     28,304 K
chrome.exe                   19664 Console                   15     25,296 K
cmd.exe                      12272 Console                   15        696 K
cmd.exe                      27940 Console                   15        708 K
conhost.exe                  32392 Console                   15      1,972 K
conhost.exe                  27460 Console                   15      1,800 K
MfeBrowserHost.exe           28292 Console                   15      2,100 K
browserhost.exe              15388 Console                   15      3,268 K
AsusOSD.exe                  13024 Console                   15      2,184 K
uihost.exe                   32332 Console                   15     13,360 K
apkcombovpn.exe              29932 Console                   15     14,920 K
ModuleCoreService.exe          196 Console                   15      6,360 K
conhost.exe                  15468 Console                   15      3,268 K
chrome.exe                   30692 Console                   15     15,568 K
ServiceHub.DataWarehouseH    25040 Console                   15    102,228 K
WebViewHost.exe               4104 Console                   15     47,556 K
dllhost.exe                  11392 Console                   15     10,216 K
chrome.exe                   30908 Console                   15    275,012 K
AsusSoftwareManagerAgent.    30412 Console                   15     41,952 K
chrome.exe                   32700 Console                   15    185,016 K
chrome.exe                   16096 Console                   15     71,076 K
vcpkgsrv.exe                  8488 Console                   15     36,764 K
MSBuild.exe                  15524 Console                   15     71,800 K
conhost.exe                  16176 Console                   15      6,880 K
vctip.exe                    21512 Console                   15     57,916 K
StandardCollector.Service    31320 Services                   0     28,276 K
msedgewebview2.exe           24760 Console                   15    118,360 K
msedgewebview2.exe           18444 Console                   15      9,788 K
msedgewebview2.exe            4568 Console                   15     85,960 K
msedgewebview2.exe           20324 Console                   15     33,896 K
msedgewebview2.exe            9688 Console                   15     19,264 K
svchost.exe                   9804 Services                   0      9,000 K
Project1.exe                 32092 Console                   15     82,260 K
msedgewebview2.exe           25832 Console                   15     96,908 K
msedgewebview2.exe           12448 Console                   15     49,568 K
msedgewebview2.exe           22448 Console                   15     61,208 K
msedgewebview2.exe           23784 Console                   15     62,920 K
dllhost.exe                  10100 Console                   15     13,392 K
audiodg.exe                  23472 Services                   0     19,400 K
chrome.exe                    4796 Console                   15     69,132 K
chrome.exe                   17060 Console                   15     31,124 K
SearchProtocolHost.exe       14368 Services                   0     18,592 K
SearchFilterHost.exe         28824 Services                   0     17,380 K
SearchFilterHost.exe         24676 Services                   0     11,764 K
tasklist.exe                 27784 Console                   15     12,680 K
conhost.exe                  10380 Console                   15      9,592 K
OpenConsole.exe              29140 Console                   15     16,848 K
WindowsTerminal.exe           4080 Console                   15     91,392 K
RuntimeBroker.exe            29360 Console                   15      2,120 K
